Northpoint Commercial Finance,,,,,,,,,,,,,,,
Inventory Aging by Model Number Report,,,,,,,,,,,,,,,
As of: 06/19/2026,,,,,,,,,,,,,,,
Business Name: Lauderdale Inflatables,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Dealer Name,Dealer CIN,Supplier Name,Supplier CIN,Invoice Number,Invoice Date,Aging (Days),Interest Start Date,Status,Model Year,Model Number,Serial/VIN,Original Balance,Current Balance,Curtailment Current Due,Past Due Curtailment
Lauderdale Inflatables,52151,Tohatsu Outboards,18406,721420,03/13/2026,98,06/11/2026,In-Stock,,MFS15EEFS,003683BF,"2,382.00","2,382.00",0,0
Lauderdale Inflatables,52151,Tohatsu Outboards,18406,717633,01/15/2026,155,10/12/2026,In-Stock,,MFS20EWEFS,027194BE,"2,804.00","2,804.00",0,0
Lauderdale Inflatables,52151,Tohatsu Outboards,18406,717633,01/15/2026,155,10/12/2026,In-Stock,,MFS20EWS,027163BE,"2,539.00","2,539.00",0,0
Lauderdale Inflatables,52151,Tohatsu Outboards,18406,727403,05/28/2026,22,11/24/2026,In-Stock,,MFS25DETL,007641BF,"3,568.00","3,568.00",0,0
Lauderdale Inflatables,52151,Tohatsu Outboards,18406,727403,05/28/2026,22,11/24/2026,In-Stock,,MFS30DWEFTL,008311BF,"4,156.00","4,156.00",0,0
Lauderdale Inflatables,52151,Tohatsu Outboards,18406,708881,08/15/2025,308,05/12/2026,In-Stock,,MFS30DWETL,027086BE,"3,870.00","3,657.14",0,0
Lauderdale Inflatables,52151,Tohatsu Outboards,18406,723454,04/10/2026,70,07/09/2026,In-Stock,,MFS30DWETL,002893BF,"4,049.00","4,049.00",0,0
Lauderdale Inflatables,52151,Tohatsu Outboards,18406,727403,05/28/2026,22,11/24/2026,In-Stock,,MFS30DWETL,014107BF,"4,049.00","4,049.00",0,0
Lauderdale Inflatables,52151,Tohatsu Outboards,18406,727403,05/28/2026,22,11/24/2026,In-Stock,,MFS30DWETL,014109BF,"4,049.00","4,049.00",0,0
Lauderdale Inflatables,52151,Tohatsu Outboards,18406,727403,05/28/2026,22,11/24/2026,In-Stock,,MFS30DWETL,014110BF,"4,049.00","4,049.00",0,0
Lauderdale Inflatables,52151,Tohatsu Outboards,18406,717633,01/15/2026,155,10/12/2026,In-Stock,,MFS40AWETL,028764BE,"4,902.00","4,902.00",0,0
Lauderdale Inflatables,52151,Tohatsu Outboards,18406,723454,04/10/2026,70,07/09/2026,In-Stock,,MFS6DWDS,000669BF,"1,317.00","1,317.00",0,0
Lauderdale Inflatables,52151,Tohatsu Outboards,18406,727403,05/28/2026,22,11/24/2026,In-Stock,,MFS9.8CEFS,007386BF,"2,198.00","2,198.00",0,0
Lauderdale Inflatables,52151,Tohatsu Outboards,18406,717633,01/15/2026,155,10/12/2026,In-Stock,,MFS9.8CWS,007816BE,"1,990.00","1,990.00",0,0
Lauderdale Inflatables,52151,Highfield Boats,42854,2050,12/31/2025,170,06/29/2026,In-Stock,,SPORT 360,HFM50642J526,"11,478.43","11,478.43",0,0
